"idcomm","id","pop2000","commtrust","male","white","married","relighet","disadvantage","age","educate","income","commlength","trust"
30,20104,622,0.552380919456482,0,1,0,0.183221474289894,0.314355850219727,88,3,2,30,0
30,20105,622,-0.294948726892471,0,1,0,0.183221474289894,0.314355850219727,88,3,2,30,0
30,20106,622,-1.46917629241943,1,1,1,0.183221474289894,0.314355850219727,53,4,5,53,0
30,20108,622,1.20474922657013,0,1,1,0.183221474289894,0.314355850219727,44,7,7,17,1
30,20114,622,-0.600760519504547,1,1,1,0.183221474289894,0.314355850219727,45,3,5,20,0
30,20115,622,-0.77161717414856,1,1,0,0.183221474289894,0.314355850219727,30,6,5,3,0
30,20118,622,-0.544825851917267,0,1,0,0.183221474289894,0.314355850219727,64,3,2,17,0
30,20119,622,0.335031300783157,1,1,1,0.183221474289894,0.314355850219727,66,3,5,8,0
30,20120,622,0.0351768136024475,0,1,0,0.183221474289894,0.314355850219727,70,3,2,23,0
30,20122,622,0.791414976119995,0,0,1,0.183221474289894,0.314355850219727,45,3,5,40,0
30,20124,622,1.00746464729309,0,1,0,0.183221474289894,0.314355850219727,45,4,2,11,1
30,20126,622,-0.367653578519821,1,1,0,0.183221474289894,0.314355850219727,46,3,4,4,0
30,20127,622,-1.22175180912018,1,1,0,0.183221474289894,0.314355850219727,93,1,2,62,0
30,20136,622,-0.198749050498009,0,1,1,0.183221474289894,0.314355850219727,74,3,4,74,0
30,20138,622,0.527766942977905,0,1,0,0.183221474289894,0.314355850219727,47,4,8,5,0
30,20139,622,0.840265452861786,1,1,0,0.183221474289894,0.314355850219727,77,3,3,47,0
30,20141,622,-0.460198819637299,1,1,1,0.183221474289894,0.314355850219727,62,3,6,35,0
30,20144,622,0.507301330566406,0,1,1,0.183221474289894,0.314355850219727,52,5,6,26,0
30,20146,622,0.40650948882103,1,1,0,0.183221474289894,0.314355850219727,61,3,3,32,0
30,20148,622,-0.309933513402939,1,1,1,0.183221474289894,0.314355850219727,66,3,4,30,0
30,20149,622,-1.73009920120239,1,1,1,0.183221474289894,0.314355850219727,47,2,4,2,0
30,20152,622,0.00356723228469491,1,1,1,0.183221474289894,0.314355850219727,67,3,6,10,0
30,20153,622,0.380868256092072,0,1,1,0.183221474289894,0.314355850219727,49,6,8,24,0
30,20155,622,0.79077810049057,1,1,1,0.183221474289894,0.314355850219727,81,2,1,17,0
30,20157,622,1.22675704956055,1,1,1,0.183221474289894,0.314355850219727,56,6,6,22,1
30,20161,622,-0.963003695011139,1,1,1,0.183221474289894,0.314355850219727,59,3,5,36,0
30,20162,622,0.0971002876758575,1,1,1,0.183221474289894,0.314355850219727,43,7,8,11,0
30,20164,622,-0.385062962770462,0,1,0,0.183221474289894,0.314355850219727,56,3,3,29,0
30,20167,622,-0.469943165779114,0,1,1,0.183221474289894,0.314355850219727,39,7,8,6,0
30,20169,622,1.20474922657013,1,1,1,0.183221474289894,0.314355850219727,66,4,6,35,1
35,30001,524,-0.279444962739944,0,1,0,0.146669059991837,0.740575611591339,64,4,2,25,0
35,30004,524,0.150498390197754,0,1,1,0.146669059991837,0.740575611591339,35,5,3,12,0
35,30005,524,0.636073529720306,1,1,1,0.146669059991837,0.740575611591339,32,3,5,22,0
35,30006,524,0.822566986083984,0,1,1,0.146669059991837,0.740575611591339,30,7,6,30,0
35,30007,524,-0.0029728258959949,1,1,1,0.146669059991837,0.740575611591339,70,3,4,45,0
35,30008,524,-1.09628582000732,1,1,1,0.146669059991837,0.740575611591339,50,3,2,20,0
35,30010,524,-0.176734790205956,0,0,1,0.146669059991837,0.740575611591339,56,3,8,22,0
35,30011,524,0.0180212873965502,1,1,1,0.146669059991837,0.740575611591339,41,3,5,33,0
35,30013,524,-0.74299156665802,1,1,1,0.146669059991837,0.740575611591339,66,3,4,12,0
35,30016,524,0.595844268798828,0,1,1,0.146669059991837,0.740575611591339,65,1,3,40,0
35,30019,524,0.683755040168762,1,1,0,0.146669059991837,0.740575611591339,71,3,8,31,0
35,30021,524,0.901197850704193,0,1,0,0.146669059991837,0.740575611591339,83,6,3,52,0
35,30022,524,1.66101014614105,1,1,0,0.146669059991837,0.740575611591339,78,3,2,79,1
35,30025,524,-0.687200665473938,1,1,0,0.146669059991837,0.740575611591339,52,4,5,30,0
35,30026,524,0.653704285621643,1,1,1,0.146669059991837,0.740575611591339,53,3,5,15,0
35,30030,524,1.01119494438171,0,1,0,0.146669059991837,0.740575611591339,42,4,5,5,1
35,30031,524,0.576278030872345,1,1,1,0.146669059991837,0.740575611591339,72,3,6,53,0
35,30034,524,0.152198329567909,0,1,1,0.146669059991837,0.740575611591339,39,3,8,8,0
35,30035,524,-0.165386274456978,1,1,1,0.146669059991837,0.740575611591339,32,6,2,3,0
35,30042,524,-0.204089030623436,0,1,1,0.146669059991837,0.740575611591339,58,6,6,27,0
35,30045,524,0.228646144270897,0,1,1,0.146669059991837,0.740575611591339,40,3,5,17,0
35,30047,524,-1.0839958190918,1,1,1,0.146669059991837,0.740575611591339,49,3,8,30,0
35,30049,524,0.620559871196747,0,1,0,0.146669059991837,0.740575611591339,38,4,6,14,0
35,30050,524,-0.548818171024323,0,1,1,0.146669059991837,0.740575611591339,47,7,7,25,0
35,30055,524,-1.98122727870941,1,1,1,0.146669059991837,0.740575611591339,44,3,8,25,0
35,30056,524,-2.10671639442444,0,1,0,0.146669059991837,0.740575611591339,57,4,1,6,0
35,30057,524,0.40560320019722,0,1,1,0.146669059991837,0.740575611591339,50,4,7,50,0
35,30060,524,0.00356723228469491,0,1,1,0.146669059991837,0.740575611591339,59,3,8,39,0
35,30061,524,-0.905580639839172,1,1,1,0.146669059991837,0.740575611591339,59,4,6,29,0
35,30063,524,-0.0352882519364357,1,1,1,0.146669059991837,0.740575611591339,47,4,5,47,0
35,30064,524,0.906680047512054,0,1,0,0.146669059991837,0.740575611591339,82,3,2,82,0
35,30066,524,-2.28714442253113,0,1,1,0.146669059991837,0.740575611591339,28,4,4,6,0
35,30067,524,-2.99081587791443,1,1,1,0.146669059991837,0.740575611591339,54,3,8,36,0
35,30068,524,-0.238058537244797,0,1,0,0.146669059991837,0.740575611591339,64,3,4,58,0
35,30070,524,-0.374183744192123,0,1,1,0.146669059991837,0.740575611591339,34,7,6,8,0
35,30072,524,-2.34932827949524,1,1,0,0.146669059991837,0.740575611591339,63,3,2,63,0
35,30073,524,-1.27966618537903,0,1,0,0.146669059991837,0.740575611591339,59,4,4,34,0
35,30074,524,-0.130394220352173,1,1,0,0.146669059991837,0.740575611591339,86,1,4,40,0
35,30076,524,-0.439892113208771,0,1,1,0.146669059991837,0.740575611591339,56,4,2,33,0
35,30080,524,0.0916668400168419,0,1,1,0.146669059991837,0.740575611591339,44,4,3,34,0
35,30081,524,-2.04346370697021,0,1,1,0.146669059991837,0.740575611591339,37,4,8,10,0
