"state","robbrate","larcrate","assrate","burgrate","murdrate","fips","suicrate","asuicrat","suicrt65","pop_cen","land","density","unemprat","pop_24","pop_65","proprate","violrate","crimrate","mig_rate","perinc","gsprod","permale","perfemale"
"Alabama",185.75,2844.27001953125,403.690002441406,1024.82995605469,11.168586730957,1,12.1000003814697,13.1999998092651,22.5200004577637,4270460,50750,84.1500015258789,5.09999990463257,1522331,554871,4215.7099609375,632.349975585938,4848.06005859375,1967.00122070313,19.0860004425049,0.949880003929138,48.0584182739258,51.9415817260742
"Alaska",155.130004882813,3624.34008789063,526.320007324219,836.919982910156,9.10595989227295,2,17.1000003814697,17.1000003814697,10.0600004196167,601581,570374,1.04999995231628,7.80000019073486,249048,29805,4982.9501953125,770.859985351563,5753.81005859375,-1163.6005859375,21.9799995422363,0.236739993095398,52.6193046569824,47.3806953430176
"Arizona",173.759994506836,4925.6298828125,495.709991455078,1416.82995605469,10.4077758789063,4,17.5,18.7000007629395,30.0100002288818,4307074,113642,37.9000015258789,5.5,1559918,573119,7500.1201171875,713.489990234375,8213.6103515625,6802.76220703125,20.068000793457,1.03951001167297,49.4974708557129,50.5025291442871
"Arkansas",125.680000305176,2815.419921875,379.829986572266,996.900024414063,10.4267311096191,5,14.1000003814697,14.5,18.0100002288818,2480080,52075,47.6300010681152,5.40000009536743,902817,360856,4137.68017578125,553.179992675781,4690.85986328125,3185.38110351563,17.9349994659424,0.533580005168915,48.3432426452637,51.6567573547363
"California",331.160003662109,2856.8701171875,590.260009765625,1120.31005859375,11.1779413223267,6,11.1000003814697,11.6999998092651,20.9500007629395,31472342,155973,201.779998779297,7.19999980926514,11794990,3464871,4865.080078125,966.010009765625,5831.08984375,-4918.6044921875,23.9009990692139,9.13473987579346,50.0655860900879,49.9344139099121
"Colorado",96.1800003051758,3634.47998046875,298.75,934.109985351563,5.76461172103882,8,16.3999996185303,17.5,27.5799999237061,3738237,103729,36.0400009155273,4.19999980926514,1332288,376965,4956.10009765625,440.190002441406,5396.2900390625,6553.8916015625,24.2900009155273,1.07903003692627,49.6399002075195,50.3600997924805
"Connecticut",163.210006713867,2668.72998046875,214.410003662109,888.400024414063,4.58015251159668,9,9.19999980926514,9.89999961853027,13.4799995422363,3261812,4845,673.22998046875,5.69999980926514,1063006,467282,4097.33984375,405.890014648438,4503.240234375,-4568.01318359375,32.0730018615723,1.18595004081726,48.5674476623535,51.4325523376465
"Delaware",198.740005493164,3114.22998046875,442.540008544922,905.299987792969,3.48675036430359,10,9.89999961853027,11.1999998092651,18.7199993133545,718700,1955,367.619995117188,8.5,243195,90775,4433.75,724.969970703125,5158.72021484375,2782.80224609375,25.6660003662109,0.269470006227493,48.7330589294434,51.2669410705566
"Florida",299.910003662109,4322.39990234375,715.109985351563,1522.35998535156,7.3203444480896,12,13.3999996185303,15.3000001907349,23.2199993133545,14180200,53937,262.899993896484,5.09999990463257,4527812,2626203,6630.580078125,1070.94995117188,7701.52978515625,4739.00244140625,22.6650009155273,3.39033007621765,48.522102355957,51.477897644043
"Georgia",205.210006713867,3678.27001953125,407.140014648438,1059.91003417969,9.4847936630249,13,10.8999996185303,11.5,19.75,7188510,57919,124.110000610352,4.59999990463257,2656841,718914,5346.5498046875,657.090026855469,6003.64013671875,4966.2587890625,21.6889991760254,2.00750994682312,48.7016067504883,51.2983932495117
"Hawaii",130.830001831055,5046.93017578125,131.759994506836,1165.2900390625,4.71777582168579,15,11.6999998092651,12,14.0699996948242,1183066,6423,184.190002441406,6.40000009536743,421248,149184,6902.9501953125,295.619995117188,7198.56982421875,-3211.9931640625,24.882999420166,0.360339999198914,50.5906562805176,49.4093437194824
"Idaho",23.9899997711182,3057.61010742188,265.519989013672,779.789978027344,4.12725687026978,16,15.3999996185303,16,30.7900009155273,1163542,82751,14.0600004196167,5.19999980926514,471744,133146,4079.44995117188,322.010009765625,4401.4599609375,8508.5029296875,18.94700050354,0.26884999871254,49.9622688293457,50.0377311706543
"Illinois",330.850006103516,3018.9599609375,618.450012207031,917.619995117188,10.3212175369263,17,9,9.5,14.7299995422363,11865976,55593,213.440002441406,5.30000019073486,4243261,1486610,4459.60986328125,996.080017089844,5455.68994140625,-2511.38208007813,25.2970008850098,3.52932000160217,48.7840118408203,51.2159881591797
"Indiana",135.169998168945,2819.5400390625,348.290008544922,821.580017089844,8.03032875061035,18,11.3000001907349,12.1000003814697,18.4799995422363,5786612,35870,161.320007324219,4.09999990463257,2074540,730444,4106.7900390625,524.75,4631.5400390625,1140.56372070313,21.4419994354248,1.48801004886627,48.6917610168457,51.3082389831543
"Iowa",53.0299987792969,2767.23999023438,277.760009765625,757.460021972656,1.79451096057892,19,11.3000001907349,11.8000001907349,15.0100002288818,2840620,55875,50.8400001525879,3.79999995231628,997523,432932,3747.5,354.359985351563,4101.85986328125,35.2035827636719,20.4619998931885,0.713620007038116,48.7003860473633,51.2996139526367
"Kansas",108.190002441406,3074.27001953125,269.790008544922,1068.38000488281,6.19883060455322,20,10.8999996185303,11.3000001907349,16.1700000762939,2574567,81823,31.4699993133545,4.5,935071,352457,4466.2001953125,420.739990234375,4886.93994140625,-388.414825439453,21.5470008850098,0.641460001468658,49.2516441345215,50.7483558654785
"Kentucky",103.650001525879,1992.38000488281,222.050003051758,735.469970703125,7.15025901794434,21,11.6000003814697,12.3999996185303,17.6599998474121,3856107,39732,97.0500030517578,5.59999990463257,1373705,486701,2986.98999023438,364.739990234375,3351.73999023438,1633.77209472656,18.6089992523193,0.906170010566711,48.5745086669922,51.4254913330078
"Louisiana",268.589996337891,3838.47998046875,679.039978027344,1231.7099609375,17.0428371429443,22,12.1999998092651,12.6000003814697,20.2800006866455,4328161,43566,99.3499984741211,6.69999980926514,1696522,492950,5668.6298828125,1007.39001464844,6676.02001953125,-1571.10607910156,18.8279991149902,1.12943994998932,48.2070159912109,51.7929840087891
"Maine",26.9099998474121,2292.02001953125,81.1399993896484,726.429992675781,2.01450443267822,23,11.5,13,21.5400009155273,1233193,30865,39.9500007629395,5.09999990463257,415617,171702,3153.26000976563,131.429992675781,3284.68994140625,-1216.35461425781,19.9699993133545,0.277480006217957,48.7821464538574,51.2178535461426
"Maryland",423.130004882813,3532.84008789063,509.660003662109,1057.52001953125,11.8207063674927,24,9.5,10.1000003814697,14.8999996185303,5023442,9775,513.909973144531,4.90000009536743,1706575,570266,5307.91015625,986.849975585938,6294.759765625,-278.693359375,26.1149997711182,1.37353003025055,48.6589164733887,51.3410835266113
"Massachusetts",150.429992675781,2232.23999023438,504.209991455078,817.72998046875,3.57260465621948,25,7.69999980926514,8.10000038146973,6.88000011444092,6057923,7838,772.890014648438,4.30000019073486,1962314,856394,3654.44995117188,687.169982910156,4341.6201171875,-3202.41772460938,28.0729999542236,1.95873999595642,48.2320289611816,51.7679710388184
"Michigan",187.300003051758,2939.69995117188,430.100006103516,909.75,8.46161937713623,26,9.5,10.1000003814697,15.9799995422363,9662881,56809,170.089996337891,4.90000009536743,3451767,1201038,4494.9501953125,687.820007324219,5182.77001953125,-1438.49438476563,23.4340000152588,2.51794004440308,48.7176284790039,51.2823715209961
"Minnesota",123.690002441406,3002.46997070313,172.210006713867,797.309997558594,3.94793915748596,27,10.8000001907349,11.3000001907349,14.4499998092651,4604947,79617,57.8400001525879,4,1659318,574299,4141.240234375,356.100006103516,4497.330078125,1150.93615722656,23.7590007781982,1.31358003616333,49.2882499694824,50.7117500305176
"Mississippi",130.889999389648,2520.10009765625,319.910003662109,1131.06994628906,12.9032258987427,28,11.3000001907349,11.8999996185303,19.8799991607666,2690452,46914,57.3499984741211,6.09999990463257,1062855,331835,4011.67993164063,502.779998779297,4514.4599609375,892.043395996094,16.5849990844727,0.536469995975494,48.0073509216309,51.9926490783691
"Missouri",204.039993286133,3050.89990234375,418.779998779297,932.549987792969,8.80916595458984,29,12.8000001907349,13.5,19.6800003051758,5337355,68898,77.4700012207031,4.59999990463257,1883323,741511,4456.759765625,663.77001953125,5120.52978515625,1067.94470214844,21.6100006103516,1.3748300075531,48.4179878234863,51.5820121765137
"Montana",29.0799999237061,3769.77001953125,111.720001220703,581.609985351563,4.02298831939697,30,21.2999992370605,23.1000003814697,38.4300003051758,868478,145556,5.96999979019165,5.30000019073486,317559,114481,4625.97998046875,171.380004882813,4797.35986328125,5296.62255859375,18.3099994659424,0.17722000181675,49.7895660400391,50.2104339599609
