"state","robbrate","density","unemprat","mig_rate","perinc"
"Alabama",185.75,84.1500015258789,5.09999990463257,1967.00122070313,19.0860004425049
"Alaska",155.130004882813,1.04999995231628,7.80000019073486,-1163.6005859375,21.9799995422363
"Arizona",173.759994506836,37.9000015258789,5.5,6802.76220703125,20.068000793457
"Arkansas",125.680000305176,47.6300010681152,,3185.38110351563,17.9349994659424
"California",331.160003662109,201.779998779297,7.19999980926514,-4918.6044921875,23.9009990692139
"Colorado",96.1800003051758,36.0400009155273,4.19999980926514,6553.8916015625,24.2900009155273
"Connecticut",163.210006713867,673.22998046875,5.69999980926514,-4568.01318359375,32.0730018615723
"Delaware",198.740005493164,367.619995117188,8.5,,25.6660003662109
"Florida",299.910003662109,262.899993896484,5.09999990463257,4739.00244140625,22.6650009155273
"Georgia",205.210006713867,124.110000610352,4.59999990463257,4966.2587890625,21.6889991760254
"Hawaii",130.830001831055,184.190002441406,,-3211.9931640625,24.882999420166
"Idaho",23.9899997711182,14.0600004196167,5.19999980926514,8508.5029296875,18.94700050354
"Illinois",330.850006103516,213.440002441406,5.30000019073486,-2511.38208007813,25.2970008850098
"Indiana",135.169998168945,,4.09999990463257,1140.56372070313,21.4419994354248
"Iowa",53.0299987792969,50.8400001525879,3.79999995231628,35.2035827636719,20.4619998931885
"Kansas",108.190002441406,31.4699993133545,4.5,-388.414825439453,21.5470008850098
"Kentucky",103.650001525879,97.0500030517578,5.59999990463257,1633.77209472656,18.6089992523193
"Louisiana",268.589996337891,99.3499984741211,6.69999980926514,-1571.10607910156,18.8279991149902
"Maine",26.9099998474121,39.9500007629395,5.09999990463257,-1216.35461425781,19.9699993133545
"Maryland",423.130004882813,513.909973144531,4.90000009536743,-278.693359375,26.1149997711182
"Massachusetts",150.429992675781,772.890014648438,4.30000019073486,-3202.41772460938,28.0729999542236
"Michigan",187.300003051758,170.089996337891,4.90000009536743,-1438.49438476563,23.4340000152588
"Minnesota",123.690002441406,57.8400001525879,4,1150.93615722656,23.7590007781982
"Mississippi",130.889999389648,,6.09999990463257,892.043395996094,16.5849990844727
"Missouri",204.039993286133,77.4700012207031,4.59999990463257,1067.94470214844,21.6100006103516
"Montana",29.0799999237061,5.96999979019165,5.30000019073486,5296.62255859375,18.3099994659424
"Nebraska",65.1800003051758,21.2700004577637,2.90000009536743,183.439788818359,21.0779991149902
"Nevada",324.579986572266,13.9200000762939,5.40000009536743,15703.076171875,24.5249996185303
"New Hampshire",27.3500003814697,127.790000915527,,-436.230529785156,25.3409996032715
"New Jersey",283.019989013672,1073.21997070313,6.19999980926514,-2951.42529296875,29.5809993743896
"New Mexico",154.539993286133,13.8699998855591,8.10000038146973,3563.42578125,18.0030002593994
"New York",399.709991455078,384.230010986328,6.19999980926514,-5803.267578125,27.5779991149902
"North Carolina",179.240005493164,147.5,4.30000019073486,3938.25708007813,20.9939994812012
"North Dakota",9.97999954223633,,3.09999990463257,-2806.47485351563,18.2870006561279
"Ohio",178.740005493164,271.959991455078,4.90000009536743,,22.2329998016357
"Oklahoma",115.559997558594,47.6300010681152,4.09999990463257,825.366027832031,18.5599994659424
"Oregon",137.919998168945,32.7200012207031,5.90000009536743,5953.1767578125,21.5790004730225
"Pennsylvania",189.350006103516,268.630004882813,5.30000019073486,-622.935241699219,23.2700004577637
"Rhode Island",92.3199996948242,946.690002441406,5.09999990463257,-4649.77587890625,23.4799995422363
"South Carolina",175.910003662109,122.860000610352,6,946.123657226563,18.871000289917
"South Dakota",25.9300003051758,9.68000030517578,3.20000004768372,1089.12731933594,18.7819995880127
"Tennessee",223.210006713867,127.01000213623,5.19999980926514,4259.68896484375,21.1180000305176
"Texas",179.809997558594,71.379997253418,,1717.10803222656,21.2789993286133
"Utah",67.0899963378906,24.2399997711182,3.5,3565.16088867188,18.181999206543
"Vermont",10.9399995803833,62.9700012207031,4.59999990463257,515.07275390625,21.2369995117188
"Virginia",131.729995727539,166.720001220703,4.40000009536743,924.012939453125,24
"Washington",132.740005493164,81.5999984741211,6.5,5098.40869140625,23.6639995574951
"West Virginia",42.7200012207031,75.629997253418,7.5,1097.92810058594,17.4459991455078
"Wisconsin",105.089996337891,94.5800018310547,3.5,1382.14660644531,22.0839996337891
"Wyoming",17.9200000762939,,5,1254.27502441406,20.6949996948242
